,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Actuals,Proba_deepsynergy_preuer
100,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000501,Colon,0.0,0.3184391558170318
101,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000350,Colon,0.0,0.4751034080982208
102,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000997,Colon,0.0,0.1108747273683548
103,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000950,Colon,0.0,0.6078746318817139
104,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000971,Colon,0.0,0.1341896951198578
105,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000957,Colon,0.0,0.3028018772602081
106,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000722,Colon,0.0,0.5708730816841125
107,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000009,Colon,0.0,0.4787749350070953
108,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000989,Colon,0.0,0.1154740825295448
109,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000985,Colon,0.0,0.1824775338172912
110,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000236,Colon,0.0,0.2663745582103729
111,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000552,Colon,0.0,0.2769857943058014
112,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000958,Colon,0.0,0.6951515674591064
113,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000991,Colon,0.0,0.3265807926654815
114,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000007,Colon,0.0,0.3123273551464081
115,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000249,Colon,0.0,0.4991753101348877
116,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000986,Colon,0.0,0.4225105941295624
117,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000680,Colon,0.0,0.2708760499954223
118,BMS-754807,Camptothecin,DB15399,DB04690,ACH-001345,Colon,0.0,0.1340292245149612
119,Trametinib,Camptothecin,DB08911,DB04690,ACH-000491,Colon,0.0,0.1173632517457008
120,Trametinib,Camptothecin,DB08911,DB04690,ACH-000196,Breast,0.0,0.3877008855342865
121,Trametinib,Camptothecin,DB08911,DB04690,ACH-000857,Breast,0.0,0.5138850808143616
122,Trametinib,Camptothecin,DB08911,DB04690,ACH-000998,Colon,0.0,0.266988605260849
123,Trametinib,Camptothecin,DB08911,DB04690,ACH-000258,Breast,0.0,0.4853655695915222
124,Trametinib,Camptothecin,DB08911,DB04690,ACH-000019,Breast,0.0,0.1901448965072631
125,Trametinib,Camptothecin,DB08911,DB04690,ACH-000352,Breast,0.0,0.2713438272476196
126,Trametinib,Camptothecin,DB08911,DB04690,ACH-000927,Breast,0.0,0.1457326859235763
127,Trametinib,Camptothecin,DB08911,DB04690,ACH-000148,Breast,0.0,0.1091941222548484
128,Trametinib,Camptothecin,DB08911,DB04690,ACH-000643,Breast,0.0,0.4111957550048828
129,Trametinib,Camptothecin,DB08911,DB04690,ACH-000935,Colon,0.0,0.4061214029788971
130,Trametinib,Camptothecin,DB08911,DB04690,ACH-000859,Breast,0.0,0.3710818588733673
131,Trametinib,Camptothecin,DB08911,DB04690,ACH-000117,Breast,0.0,0.2882977724075317
132,Trametinib,Camptothecin,DB08911,DB04690,ACH-000876,Breast,0.0,0.1841737627983093
133,Trametinib,Camptothecin,DB08911,DB04690,ACH-000963,Colon,0.0,0.2469493299722671
134,Trametinib,Camptothecin,DB08911,DB04690,ACH-000381,Colon,0.0,0.3934813439846039
135,Trametinib,Camptothecin,DB08911,DB04690,ACH-000856,Breast,0.0,0.1517076045274734
136,Trametinib,Camptothecin,DB08911,DB04690,ACH-000147,Breast,0.0,0.3046288192272186
137,Trametinib,Camptothecin,DB08911,DB04690,ACH-000223,Breast,0.0,0.2798128724098205
138,Trametinib,Camptothecin,DB08911,DB04690,ACH-000955,Colon,0.0,0.3025014102458954
139,Trametinib,Camptothecin,DB08911,DB04690,ACH-000554,Breast,0.0,0.2600517272949219
140,Trametinib,Camptothecin,DB08911,DB04690,ACH-000651,Colon,0.0,0.156323954463005
141,Trametinib,Camptothecin,DB08911,DB04690,ACH-000849,Breast,0.0,0.1582778990268707
142,Trametinib,Camptothecin,DB08911,DB04690,ACH-000969,Colon,0.0,0.1513915210962295
143,Trametinib,Camptothecin,DB08911,DB04690,ACH-000621,Breast,0.0,0.5473825931549072
144,Trametinib,Camptothecin,DB08911,DB04690,ACH-000910,Breast,0.0,0.4249726831912994
145,Trametinib,Camptothecin,DB08911,DB04690,ACH-000999,Colon,0.0,0.0914113447070121
146,Trametinib,Camptothecin,DB08911,DB04690,ACH-000400,Colon,0.0,0.3576143383979797
147,Trametinib,Camptothecin,DB08911,DB04690,ACH-000668,Breast,0.0,0.2448705583810806
148,Trametinib,Camptothecin,DB08911,DB04690,ACH-000470,Colon,0.0,0.1567309349775314
149,Trametinib,Camptothecin,DB08911,DB04690,ACH-000421,Colon,0.0,0.506503701210022
150,Trametinib,Camptothecin,DB08911,DB04690,ACH-000934,Breast,0.0,0.2223433256149292
151,Trametinib,Camptothecin,DB08911,DB04690,ACH-000252,Colon,0.0,0.3586973845958709
152,Trametinib,Camptothecin,DB08911,DB04690,ACH-000360,Colon,0.0,0.2960113883018493
153,Trametinib,Camptothecin,DB08911,DB04690,ACH-000926,Colon,0.0,0.3077901005744934
154,Trametinib,Camptothecin,DB08911,DB04690,ACH-000970,Colon,0.0,0.1158414259552955
155,Trametinib,Camptothecin,DB08911,DB04690,ACH-000403,Colon,0.0,0.1248349621891975
156,Trametinib,Camptothecin,DB08911,DB04690,ACH-000565,Colon,0.0,0.375778466463089
157,Trametinib,Camptothecin,DB08911,DB04690,ACH-000943,Colon,0.0,0.3105698525905609
158,Trametinib,Camptothecin,DB08911,DB04690,ACH-000902,Breast,0.0,0.2250217944383621
159,Trametinib,Camptothecin,DB08911,DB04690,ACH-000501,Colon,0.0,0.2175807952880859
160,Trametinib,Camptothecin,DB08911,DB04690,ACH-000350,Colon,0.0,0.3709250092506408
161,Trametinib,Camptothecin,DB08911,DB04690,ACH-000699,Breast,0.0,0.5161951184272766
162,Trametinib,Camptothecin,DB08911,DB04690,ACH-000997,Colon,0.0,0.117887333035469
163,Trametinib,Camptothecin,DB08911,DB04690,ACH-000950,Colon,0.0,0.4610922932624817
164,Trametinib,Camptothecin,DB08911,DB04690,ACH-000783,Breast,0.0,0.2962576746940613
165,Trametinib,Camptothecin,DB08911,DB04690,ACH-000374,Breast,0.0,0.228838250041008
166,Trametinib,Camptothecin,DB08911,DB04690,ACH-000624,Breast,0.0,0.5258638262748718
167,Trametinib,Camptothecin,DB08911,DB04690,ACH-000818,Breast,0.0,0.2107857018709182
168,Trametinib,Camptothecin,DB08911,DB04690,ACH-000971,Colon,0.0,0.1280498653650283
169,Trametinib,Camptothecin,DB08911,DB04690,ACH-000573,Breast,0.0,0.4444940984249115
170,Trametinib,Camptothecin,DB08911,DB04690,ACH-000711,Breast,1.0,0.2397022098302841
171,Trametinib,Camptothecin,DB08911,DB04690,ACH-000768,Breast,0.0,0.2250961512327194
172,Trametinib,Camptothecin,DB08911,DB04690,ACH-000277,Breast,0.0,0.1688533276319503
173,Trametinib,Camptothecin,DB08911,DB04690,ACH-000111,Breast,0.0,0.253033310174942
174,Trametinib,Camptothecin,DB08911,DB04690,ACH-000349,Breast,0.0,0.3072182834148407
175,Trametinib,Camptothecin,DB08911,DB04690,ACH-000957,Colon,0.0,0.2682628333568573
176,Trametinib,Camptothecin,DB08911,DB04690,ACH-000722,Colon,0.0,0.4565942883491516
177,Trametinib,Camptothecin,DB08911,DB04690,ACH-000828,Breast,0.0,0.227202221751213
178,Trametinib,Camptothecin,DB08911,DB04690,ACH-000009,Colon,0.0,0.3448913991451263
179,Trametinib,Camptothecin,DB08911,DB04690,ACH-001819,Breast,0.0,0.3026951551437378
180,Trametinib,Camptothecin,DB08911,DB04690,ACH-000755,Breast,0.0,0.3232917189598083
181,Trametinib,Camptothecin,DB08911,DB04690,ACH-000288,Breast,0.0,0.1078716441988945
182,Trametinib,Camptothecin,DB08911,DB04690,ACH-000989,Colon,0.0,0.1121265143156051
183,Trametinib,Camptothecin,DB08911,DB04690,ACH-000985,Colon,1.0,0.1483303010463714
184,Trametinib,Camptothecin,DB08911,DB04690,ACH-000236,Colon,0.0,0.1894349753856659
185,Trametinib,Camptothecin,DB08911,DB04690,ACH-000552,Colon,0.0,0.225461333990097
186,Trametinib,Camptothecin,DB08911,DB04690,ACH-001820,Breast,0.0,0.1754638254642486
187,Trametinib,Camptothecin,DB08911,DB04690,ACH-000958,Colon,0.0,0.6451090574264526
188,Trametinib,Camptothecin,DB08911,DB04690,ACH-000212,Breast,0.0,0.1732064932584762
189,Trametinib,Camptothecin,DB08911,DB04690,ACH-000276,Breast,0.0,0.6108148694038391
190,Trametinib,Camptothecin,DB08911,DB04690,ACH-000991,Colon,0.0,0.277679294347763
191,Trametinib,Camptothecin,DB08911,DB04690,ACH-000007,Colon,0.0,0.2313176244497299
192,Trametinib,Camptothecin,DB08911,DB04690,ACH-000249,Colon,0.0,0.4074143767356872
193,Trametinib,Camptothecin,DB08911,DB04690,ACH-000248,Breast,0.0,0.5481551289558411
194,Trametinib,Camptothecin,DB08911,DB04690,ACH-000986,Colon,0.0,0.3062258064746856
195,Trametinib,Camptothecin,DB08911,DB04690,ACH-000536,Breast,0.0,0.5803354978561401
196,Trametinib,Camptothecin,DB08911,DB04690,ACH-000930,Breast,0.0,0.2568689286708832
197,Trametinib,Camptothecin,DB08911,DB04690,ACH-000680,Colon,0.0,0.1899268925189972
198,Trametinib,Camptothecin,DB08911,DB04690,ACH-001345,Colon,0.0,0.1404264867305755
199,Trametinib,Camptothecin,DB08911,DB04690,ACH-000330,Breast,0.0,0.2333762049674987
200,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000491,Colon,0.0,0.2456986457109451
201,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000998,Colon,0.0,0.469023585319519
202,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000935,Colon,0.0,0.5212600231170654
203,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000963,Colon,0.0,0.5227449536323547
204,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000381,Colon,0.0,0.624502420425415
205,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000955,Colon,0.0,0.4775464236736297
206,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000651,Colon,0.0,0.3382803797721863
207,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000969,Colon,0.0,0.3311035633087158
208,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000999,Colon,0.0,0.2208721190690994
209,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000400,Colon,0.0,0.4884320795536041
210,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000470,Colon,0.0,0.3639262020587921
211,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000421,Colon,0.0,0.6650791168212891
212,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000252,Colon,0.0,0.5631802678108215
213,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000360,Colon,0.0,0.5375717878341675
214,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000926,Colon,0.0,0.5201476812362671
215,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000970,Colon,0.0,0.2605477273464203
216,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000403,Colon,0.0,0.3139789998531341
217,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000565,Colon,0.0,0.5760016441345215
218,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000943,Colon,0.0,0.607235312461853
219,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000501,Colon,0.0,0.4794911742210388
220,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000350,Colon,0.0,0.5347273945808411
221,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000997,Colon,0.0,0.2522743344306946
222,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000950,Colon,0.0,0.6597310304641724
223,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000971,Colon,0.0,0.2684274315834045
224,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000957,Colon,0.0,0.3631410598754883
225,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000722,Colon,0.0,0.6052309274673462
226,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000009,Colon,0.0,0.567520260810852
227,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000989,Colon,0.0,0.267711728811264
228,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000985,Colon,0.0,0.3279465436935425
229,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000236,Colon,0.0,0.4378181397914886
230,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000552,Colon,0.0,0.5040827989578247
231,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000958,Colon,0.0,0.7692548632621765
232,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000991,Colon,0.0,0.4243606328964233
233,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000007,Colon,0.0,0.4828318059444427
234,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000249,Colon,0.0,0.6035588979721069
235,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000986,Colon,0.0,0.566284716129303
236,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000680,Colon,0.0,0.4766329228878021
237,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-001345,Colon,0.0,0.2802101373672485
238,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000491,Colon,0.0,0.2104183286428451
239,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000196,Breast,0.0,0.5099959969520569
240,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000857,Breast,0.0,0.6344242095947266
241,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000998,Colon,0.0,0.4627016186714172
242,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000258,Breast,0.0,0.5823694467544556
243,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000019,Breast,0.0,0.3557676374912262
244,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000352,Breast,0.0,0.3346463441848755
245,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000927,Breast,0.0,0.2330153882503509
246,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000148,Breast,0.0,0.2745519876480102
247,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000643,Breast,0.0,0.6322396993637085
248,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000935,Colon,0.0,0.5169063210487366
249,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000859,Breast,0.0,0.5362133979797363
250,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000117,Breast,0.0,0.3822468817234039
251,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000876,Breast,0.0,0.2428010106086731
252,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000963,Colon,0.0,0.4829570353031158
253,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000381,Colon,0.0,0.621675431728363
254,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000856,Breast,0.0,0.2645599246025085
255,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000147,Breast,0.0,0.4279170334339142
256,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000223,Breast,0.0,0.4524894058704376
257,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000955,Colon,0.0,0.4637706279754638
258,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000554,Breast,0.0,0.412590891122818
259,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000651,Colon,0.0,0.3247194588184356
260,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000849,Breast,0.0,0.268981784582138
261,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000969,Colon,0.0,0.2449428290128708
262,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000621,Breast,0.0,0.7165355682373047
263,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000910,Breast,0.0,0.5903704762458801
264,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000999,Colon,0.0,0.1588953286409378
265,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000400,Colon,0.0,0.5025040507316589
266,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000668,Breast,0.0,0.4290548861026764
267,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000470,Colon,0.0,0.3123997449874878
268,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000421,Colon,0.0,0.6551113724708557
269,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000934,Breast,0.0,0.3669028580188751
270,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000252,Colon,0.0,0.5551928281784058
271,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000360,Colon,0.0,0.5070745944976807
272,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000926,Colon,0.0,0.5162745714187622
273,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000970,Colon,0.0,0.2009647190570831
274,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000403,Colon,0.0,0.2267792224884033
275,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000565,Colon,0.0,0.5948460102081299
276,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000943,Colon,0.0,0.5780870914459229
277,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000902,Breast,0.0,0.3529532551765442
