,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Actuals,Proba
123,Trametinib,Camptothecin,DB08911,DB04690,ACH-000258,Breast,0,0.48536557
124,Trametinib,Camptothecin,DB08911,DB04690,ACH-000019,Breast,0,0.190144897
125,Trametinib,Camptothecin,DB08911,DB04690,ACH-000352,Breast,0,0.271343827
126,Trametinib,Camptothecin,DB08911,DB04690,ACH-000927,Breast,0,0.145732686
127,Trametinib,Camptothecin,DB08911,DB04690,ACH-000148,Breast,0,0.109194122
128,Trametinib,Camptothecin,DB08911,DB04690,ACH-000643,Breast,0,0.411195755
129,Trametinib,Camptothecin,DB08911,DB04690,ACH-000935,Colon,0,0.406121403
130,Trametinib,Camptothecin,DB08911,DB04690,ACH-000859,Breast,0,0.371081859
131,Trametinib,Camptothecin,DB08911,DB04690,ACH-000117,Breast,0,0.288297772
132,Trametinib,Camptothecin,DB08911,DB04690,ACH-000876,Breast,0,0.184173763
133,Trametinib,Camptothecin,DB08911,DB04690,ACH-000963,Colon,0,0.24694933
134,Trametinib,Camptothecin,DB08911,DB04690,ACH-000381,Colon,0,0.393481344
135,Trametinib,Camptothecin,DB08911,DB04690,ACH-000856,Breast,0,0.151707605
136,Trametinib,Camptothecin,DB08911,DB04690,ACH-000147,Breast,0,0.304628819
137,Trametinib,Camptothecin,DB08911,DB04690,ACH-000223,Breast,0,0.279812872
138,Trametinib,Camptothecin,DB08911,DB04690,ACH-000955,Colon,0,0.30250141
139,Trametinib,Camptothecin,DB08911,DB04690,ACH-000554,Breast,0,0.260051727
140,Trametinib,Camptothecin,DB08911,DB04690,ACH-000651,Colon,0,0.156323954
141,Trametinib,Camptothecin,DB08911,DB04690,ACH-000849,Breast,0,0.158277899
142,Trametinib,Camptothecin,DB08911,DB04690,ACH-000969,Colon,0,0.151391521
143,Trametinib,Camptothecin,DB08911,DB04690,ACH-000621,Breast,0,0.547382593
144,Trametinib,Camptothecin,DB08911,DB04690,ACH-000910,Breast,0,0.424972683
145,Trametinib,Camptothecin,DB08911,DB04690,ACH-000999,Colon,0,0.091411345
146,Trametinib,Camptothecin,DB08911,DB04690,ACH-000400,Colon,0,0.357614338
147,Trametinib,Camptothecin,DB08911,DB04690,ACH-000668,Breast,0,0.244870558
148,Trametinib,Camptothecin,DB08911,DB04690,ACH-000470,Colon,0,0.156730935
149,Trametinib,Camptothecin,DB08911,DB04690,ACH-000421,Colon,0,0.506503701
150,Trametinib,Camptothecin,DB08911,DB04690,ACH-000934,Breast,0,0.222343326
151,Trametinib,Camptothecin,DB08911,DB04690,ACH-000252,Colon,0,0.358697385
152,Trametinib,Camptothecin,DB08911,DB04690,ACH-000360,Colon,0,0.296011388
153,Trametinib,Camptothecin,DB08911,DB04690,ACH-000926,Colon,0,0.307790101
154,Trametinib,Camptothecin,DB08911,DB04690,ACH-000970,Colon,0,0.115841426
155,Trametinib,Camptothecin,DB08911,DB04690,ACH-000403,Colon,0,0.124834962
156,Trametinib,Camptothecin,DB08911,DB04690,ACH-000565,Colon,0,0.375778466
157,Trametinib,Camptothecin,DB08911,DB04690,ACH-000943,Colon,0,0.310569853
158,Trametinib,Camptothecin,DB08911,DB04690,ACH-000902,Breast,0,0.225021794
159,Trametinib,Camptothecin,DB08911,DB04690,ACH-000501,Colon,0,0.217580795
160,Trametinib,Camptothecin,DB08911,DB04690,ACH-000350,Colon,0,0.370925009
161,Trametinib,Camptothecin,DB08911,DB04690,ACH-000699,Breast,0,0.516195118
162,Trametinib,Camptothecin,DB08911,DB04690,ACH-000997,Colon,0,0.117887333
163,Trametinib,Camptothecin,DB08911,DB04690,ACH-000950,Colon,0,0.461092293
164,Trametinib,Camptothecin,DB08911,DB04690,ACH-000783,Breast,0,0.296257675
165,Trametinib,Camptothecin,DB08911,DB04690,ACH-000374,Breast,0,0.22883825
166,Trametinib,Camptothecin,DB08911,DB04690,ACH-000624,Breast,0,0.525863826
167,Trametinib,Camptothecin,DB08911,DB04690,ACH-000818,Breast,0,0.210785702
168,Trametinib,Camptothecin,DB08911,DB04690,ACH-000971,Colon,0,0.128049865
169,Trametinib,Camptothecin,DB08911,DB04690,ACH-000573,Breast,0,0.444494098
170,Trametinib,Camptothecin,DB08911,DB04690,ACH-000711,Breast,1,0.23970221
171,Trametinib,Camptothecin,DB08911,DB04690,ACH-000768,Breast,0,0.225096151
172,Trametinib,Camptothecin,DB08911,DB04690,ACH-000277,Breast,0,0.168853328
173,Trametinib,Camptothecin,DB08911,DB04690,ACH-000111,Breast,0,0.25303331
174,Trametinib,Camptothecin,DB08911,DB04690,ACH-000349,Breast,0,0.307218283
175,Trametinib,Camptothecin,DB08911,DB04690,ACH-000957,Colon,0,0.268262833
176,Trametinib,Camptothecin,DB08911,DB04690,ACH-000722,Colon,0,0.456594288
177,Trametinib,Camptothecin,DB08911,DB04690,ACH-000828,Breast,0,0.227202222
178,Trametinib,Camptothecin,DB08911,DB04690,ACH-000009,Colon,0,0.344891399
179,Trametinib,Camptothecin,DB08911,DB04690,ACH-001819,Breast,0,0.302695155
180,Trametinib,Camptothecin,DB08911,DB04690,ACH-000755,Breast,0,0.323291719
181,Trametinib,Camptothecin,DB08911,DB04690,ACH-000288,Breast,0,0.107871644
182,Trametinib,Camptothecin,DB08911,DB04690,ACH-000989,Colon,0,0.112126514
183,Trametinib,Camptothecin,DB08911,DB04690,ACH-000985,Colon,1,0.148330301
184,Trametinib,Camptothecin,DB08911,DB04690,ACH-000236,Colon,0,0.189434975
185,Trametinib,Camptothecin,DB08911,DB04690,ACH-000552,Colon,0,0.225461334
186,Trametinib,Camptothecin,DB08911,DB04690,ACH-001820,Breast,0,0.175463825
187,Trametinib,Camptothecin,DB08911,DB04690,ACH-000958,Colon,0,0.645109057
188,Trametinib,Camptothecin,DB08911,DB04690,ACH-000212,Breast,0,0.173206493
189,Trametinib,Camptothecin,DB08911,DB04690,ACH-000276,Breast,0,0.610814869
190,Trametinib,Camptothecin,DB08911,DB04690,ACH-000991,Colon,0,0.277679294
191,Trametinib,Camptothecin,DB08911,DB04690,ACH-000007,Colon,0,0.231317624
192,Trametinib,Camptothecin,DB08911,DB04690,ACH-000249,Colon,0,0.407414377
193,Trametinib,Camptothecin,DB08911,DB04690,ACH-000248,Breast,0,0.548155129
194,Trametinib,Camptothecin,DB08911,DB04690,ACH-000986,Colon,0,0.306225806
195,Trametinib,Camptothecin,DB08911,DB04690,ACH-000536,Breast,0,0.580335498
196,Trametinib,Camptothecin,DB08911,DB04690,ACH-000930,Breast,0,0.256868929
197,Trametinib,Camptothecin,DB08911,DB04690,ACH-000680,Colon,0,0.189926893
198,Trametinib,Camptothecin,DB08911,DB04690,ACH-001345,Colon,0,0.140426487
199,Trametinib,Camptothecin,DB08911,DB04690,ACH-000330,Breast,0,0.233376205
200,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000491,Colon,0,0.245698646
201,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000998,Colon,0,0.469023585
202,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000935,Colon,0,0.521260023
203,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000963,Colon,0,0.522744954
204,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000381,Colon,0,0.62450242
205,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000955,Colon,0,0.477546424
206,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000651,Colon,0,0.33828038
207,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000969,Colon,0,0.331103563
208,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000999,Colon,0,0.220872119
209,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000400,Colon,0,0.48843208
210,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000470,Colon,0,0.363926202
211,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000421,Colon,0,0.665079117
212,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000252,Colon,0,0.563180268
213,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000360,Colon,0,0.537571788
214,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000926,Colon,0,0.520147681
215,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000970,Colon,0,0.260547727
216,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000403,Colon,0,0.313979
217,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000565,Colon,0,0.576001644
218,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000943,Colon,0,0.607235312
219,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000501,Colon,0,0.479491174
220,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000350,Colon,0,0.534727395
221,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000997,Colon,0,0.252274334
222,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000950,Colon,0,0.65973103
223,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000971,Colon,0,0.268427432
224,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000957,Colon,0,0.36314106
225,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000722,Colon,0,0.605230927
226,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000009,Colon,0,0.567520261
227,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000989,Colon,0,0.267711729
228,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000985,Colon,0,0.327946544
229,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000236,Colon,0,0.43781814
230,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000552,Colon,0,0.504082799
231,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000958,Colon,0,0.769254863
232,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000991,Colon,0,0.424360633
233,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000007,Colon,0,0.482831806
234,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000249,Colon,0,0.603558898
235,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000986,Colon,0,0.566284716
236,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-000680,Colon,0,0.476632923
237,Dabrafenib,Camptothecin,DB08912,DB04690,ACH-001345,Colon,0,0.280210137
238,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000491,Colon,0,0.210418329
239,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000196,Breast,0,0.509995997
240,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000857,Breast,0,0.63442421
241,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000998,Colon,0,0.462701619
242,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000258,Breast,0,0.582369447
243,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000019,Breast,0,0.355767637
244,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000352,Breast,0,0.334646344
245,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000927,Breast,0,0.233015388
246,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000148,Breast,0,0.274551988
247,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000643,Breast,0,0.632239699
248,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000935,Colon,0,0.516906321
249,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000859,Breast,0,0.536213398
250,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000117,Breast,0,0.382246882
251,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000876,Breast,0,0.242801011
252,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000963,Colon,0,0.482957035
253,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000381,Colon,0,0.621675432
254,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000856,Breast,0,0.264559925
255,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000147,Breast,0,0.427917033
256,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000223,Breast,0,0.452489406
257,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000955,Colon,0,0.463770628
258,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000554,Breast,0,0.412590891
259,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000651,Colon,0,0.324719459
260,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000849,Breast,0,0.268981785
261,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000969,Colon,0,0.244942829
262,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000621,Breast,0,0.716535568
263,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000910,Breast,0,0.590370476
264,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000999,Colon,0,0.158895329
265,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000400,Colon,0,0.502504051
266,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000668,Breast,0,0.429054886
267,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000470,Colon,0,0.312399745
268,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000421,Colon,0,0.655111372
269,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000934,Breast,0,0.366902858
270,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000252,Colon,0,0.555192828
271,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000360,Colon,0,0.507074594
272,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000926,Colon,0,0.516274571
273,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000970,Colon,0,0.200964719
274,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000403,Colon,0,0.226779222
275,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000565,Colon,0,0.59484601
276,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000943,Colon,0,0.578087091
277,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000902,Breast,0,0.352953255
278,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000501,Colon,0,0.417996705
279,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000350,Colon,0,0.488160908
280,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000699,Breast,0,0.677939534
281,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000997,Colon,0,0.190464363
282,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000950,Colon,0,0.669566989
283,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000783,Breast,0,0.474640697
284,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000374,Breast,0,0.421290994
285,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000624,Breast,0,0.656932831
286,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000818,Breast,0,0.221321404
287,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000971,Colon,0,0.223155707
288,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000573,Breast,0,0.65709573
289,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000711,Breast,0,0.337668508
290,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000768,Breast,0,0.452773839
291,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000277,Breast,0,0.15275766
292,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000111,Breast,0,0.439526349
293,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000349,Breast,0,0.280199707
294,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000957,Colon,0,0.366956234
295,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000722,Colon,0,0.604484916
296,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000828,Breast,0,0.29011935
297,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000009,Colon,0,0.610725701
298,Linsitinib,Camptothecin,DB06075,DB04690,ACH-001819,Breast,0,0.444228142
299,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000755,Breast,0,0.425793976
300,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000288,Breast,0,0.251727253
301,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000989,Colon,0,0.192376941
302,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000985,Colon,0,0.277398139
303,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000236,Colon,0,0.402161956
304,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000552,Colon,0,0.383288294
305,Linsitinib,Camptothecin,DB06075,DB04690,ACH-001820,Breast,0,0.219661787
306,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000958,Colon,0,0.745829463
307,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000212,Breast,0,0.275322855
308,Linsitinib,Camptothecin,DB06075,DB04690,ACH-000276,Breast,0,0.718793392
