,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Loewe score,Actuals,Proba
35,122111-05-1,ADM hydrochloride,DB00441,DB00445,ACH-000768,breast,-3.47973532663533,0.0,0.2322186529636383
36,celecoxib,ADM hydrochloride,DB00482,DB00445,ACH-000768,breast,-38.0148314307158,0.0,0.2652064561843872
37,Retinoic acid,ADM hydrochloride,DB00523,DB00445,ACH-000768,breast,-29.9842966977193,0.0,0.2833346724510193
38,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000768,breast,-15.5336706556833,0.0,0.2857535481452942
39,Romidepsin,ADM hydrochloride,DB06176,DB00445,ACH-000768,breast,-0.687108032255257,0.0,0.2182761132717132
40,Sorafenib,NSC-127716,DB00398,DB01262,ACH-001190,skin,9.39490856951479,1.0,0.2830999791622162
41,NSC733504,ADM hydrochloride,DB01590,DB00445,ACH-001190,skin,1.26648772665175,1.0,0.3196413815021515
42,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-001190,skin,-4.63435629411055,0.0,0.28719362616539
43,Pazopanib hydrochloride,Lenalidomide,DB06589,DB00480,ACH-001190,skin,-4.03825576006386,0.0,0.374139130115509
44,Crizotinib,Lenalidomide,DB08865,DB00480,ACH-001190,skin,-1.48135594377614,0.0,0.3254215121269226
45,Crizotinib,Erlotinib hydrochloride,DB08865,DB00530,ACH-001190,skin,0.333242478822768,1.0,0.4133410155773163
46,Ruxolitinib,Sorafenib,DB08877,DB00398,ACH-001190,skin,-19.8608418389896,0.0,0.2851001918315887
47,Ruxolitinib,Erlotinib hydrochloride,DB08877,DB00530,ACH-001190,skin,4.2017355400046,1.0,0.370286613702774
48,Ruxolitinib,Vepesid J,DB08877,DB00773,ACH-001190,skin,-14.5266776306322,0.0,0.2908728718757629
49,Ruxolitinib,Nilotinib,DB08877,DB04868,ACH-001190,skin,1.12680083555095,1.0,0.290221095085144
50,Ruxolitinib,Vismodegib,DB08877,DB08828,ACH-001190,skin,-0.661560526326286,0.0,0.3497138321399688
51,vinorelbine,Deforolimus,DB00361,DB06233,ACH-000219,skin,-7.29643626028798,0.0,0.4672540426254272
52,vinorelbine,Veliparib,DB00361,DB07232,ACH-000219,skin,-37.7850091419346,0.0,0.4672540426254272
53,dexamethasone,Sorafenib,DB00443,DB00398,ACH-000219,skin,-5.27207157251066,0.0,0.4672540426254272
54,doxorubicin,Veliparib,DB00445,DB07232,ACH-000219,skin,-31.5086376318759,0.0,0.4672540426254272
55,doxorubicin,Niraparib,DB00445,DB11793,ACH-000219,skin,-6.62194129045384,0.0,0.4672540426254272
56,cyclophosphamide,Sorafenib,DB00531,DB00398,ACH-000219,skin,-2.81863407251066,0.0,0.4105467796325683
57,cyclophosphamide,Dasatinib,DB00531,DB01254,ACH-000219,skin,-41.839378348061,0.0,0.4105467796325683
58,5-Fluorouracil,Veliparib,DB00544,DB07232,ACH-000219,skin,-26.97861655761,0.0,0.4672540426254272
59,methotrexate,Niraparib,DB00563,DB11793,ACH-000219,skin,-2.14654902712458,0.0,0.3487240672111511
60,vinblastine,Bortezomib,DB00570,DB00188,ACH-000219,skin,-4.83217996081594,0.0,0.4466045796871185
61,vinblastine,Erlotinib,DB00570,DB00530,ACH-000219,skin,5.50065127690758,1.0,0.4672540426254272
62,vinblastine,Lapatinib,DB00570,DB01259,ACH-000219,skin,-25.6245188837939,0.0,0.4672540426254272
63,vinblastine,Vorinostat,DB00570,DB02546,ACH-000219,skin,-5.27557112663266,0.0,0.4672540426254272
64,vinblastine,Niraparib,DB00570,DB11793,ACH-000219,skin,-1.0703094629966,0.0,0.4672540426254272
65,etoposide,Erlotinib,DB00773,DB00530,ACH-000219,skin,5.86903763353565,1.0,0.4672540426254272
66,etoposide,Sunitinib,DB00773,DB01268,ACH-000219,skin,0.0422661389254384,1.0,0.4672540426254272
67,etoposide,MK-1775,DB00773,DB11740,ACH-000219,skin,5.57161298086044,1.0,0.4672540426254272
68,paclitaxel,Bortezomib,DB01229,DB00188,ACH-000219,skin,-2.43081059083647,0.0,0.4466045796871185
69,paclitaxel,Deforolimus,DB01229,DB06233,ACH-000219,skin,-7.94437730498905,0.0,0.4672540426254272
70,paclitaxel,Veliparib,DB01229,DB07232,ACH-000219,skin,-47.3785897683095,0.0,0.4672540426254272
71,Dasatinib,Sorafenib,DB01254,DB00398,ACH-000219,skin,12.5907970543929,1.0,0.4672540426254272
72,Dasatinib,geldanamycin,DB01254,DB02424,ACH-000219,skin,10.3573402047012,1.0,0.4672540426254272
73,geldanamycin,Sorafenib,DB02424,DB00398,ACH-000219,skin,2.87384644993142,1.0,0.4672540426254272
74,Vorinostat,Sorafenib,DB02546,DB00398,ACH-000219,skin,3.90630274053106,1.0,0.4672540426254272
75,Vorinostat,Lapatinib,DB02546,DB01259,ACH-000219,skin,-10.2978073047839,0.0,0.4672540426254272
76,7-Ethyl-10-hydroxycamptothecin,Sorafenib,DB05482,DB00398,ACH-000219,skin,8.82451745401867,1.0,0.4622060060501098
77,391210-10-9,Deforolimus,DB07101,DB06233,ACH-000219,skin,-0.229697467291622,0.0,0.4672540426254272
78,L-778123 free base,Sunitinib,DB07227,DB01268,ACH-000219,skin,11.8520903840552,1.0,0.4672540426254272
79,L-778123 free base,Vorinostat,DB07227,DB02546,ACH-000219,skin,-2.13991198802256,0.0,0.4672540426254272
80,L-778123 free base,391210-10-9,DB07227,DB07101,ACH-000219,skin,3.46161822034006,1.0,0.4672540426254272
81,Veliparib,geldanamycin,DB07232,DB02424,ACH-000219,skin,-41.5405934218876,0.0,0.4672540426254272
82,MK-1775,Erlotinib,DB11740,DB00530,ACH-000219,skin,1.19278241616613,1.0,0.4672540426254272
83,MK-1775,geldanamycin,DB11740,DB02424,ACH-000219,skin,11.3529071706713,1.0,0.4672540426254272
84,MK-1775,Veliparib,DB11740,DB07232,ACH-000219,skin,-42.6365657759816,0.0,0.4672540426254272
85,Niraparib,Bortezomib,DB11793,DB00188,ACH-000219,skin,-20.7203251033385,0.0,0.4466045796871185
86,Niraparib,geldanamycin,DB11793,DB02424,ACH-000219,skin,-5.57233081986393,0.0,0.4672540426254272
87,vinorelbine,391210-10-9,DB00361,DB07101,ACH-000657,ovary,1.2572413001519,1.0,0.4672540426254272
88,gemcitabine,Sunitinib,DB00441,DB01268,ACH-000657,ovary,1.43396694271164,1.0,0.455125093460083
89,gemcitabine,Veliparib,DB00441,DB07232,ACH-000657,ovary,-7.93718424388686,0.0,0.455125093460083
90,gemcitabine,MK-1775,DB00441,DB11740,ACH-000657,ovary,6.53674256197334,1.0,0.455125093460083
91,dexamethasone,MK-1775,DB00443,DB11740,ACH-000657,ovary,-58.6159278642065,0.0,0.4672540426254272
92,doxorubicin,Bortezomib,DB00445,DB00188,ACH-000657,ovary,6.29128205357835,1.0,0.4672540426254272
93,doxorubicin,391210-10-9,DB00445,DB07101,ACH-000657,ovary,6.64424165501827,1.0,0.4672540426254272
94,cyclophosphamide,Sunitinib,DB00531,DB01268,ACH-000657,ovary,-20.1206722274866,0.0,0.3849266767501831
95,cyclophosphamide,Vorinostat,DB00531,DB02546,ACH-000657,ovary,-35.0674681803641,0.0,0.3849266767501831
96,5-Fluorouracil,Sorafenib,DB00544,DB00398,ACH-000657,ovary,0.735789691846414,1.0,0.4672540426254272
97,5-Fluorouracil,Lapatinib,DB00544,DB01259,ACH-000657,ovary,8.28053666926322,1.0,0.4672540426254272
98,5-Fluorouracil,Sunitinib,DB00544,DB01268,ACH-000657,ovary,7.74544380155793,1.0,0.4672540426254272
99,5-Fluorouracil,L-778123 free base,DB00544,DB07227,ACH-000657,ovary,7.74689247826882,1.0,0.4672540426254272
100,methotrexate,Bortezomib,DB00563,DB00188,ACH-000657,ovary,-3.4195900160054,0.0,0.3311410248279571
101,methotrexate,geldanamycin,DB00563,DB02424,ACH-000657,ovary,-4.04860454288709,0.0,0.3311410248279571
102,vinblastine,Bortezomib,DB00570,DB00188,ACH-000657,ovary,-0.146833250140759,0.0,0.4672540426254272
103,vinblastine,Sorafenib,DB00570,DB00398,ACH-000657,ovary,2.95946367507448,1.0,0.4672540426254272
104,vinblastine,Vorinostat,DB00570,DB02546,ACH-000657,ovary,2.30030523473727,1.0,0.4672540426254272
105,vinblastine,L-778123 free base,DB00570,DB07227,ACH-000657,ovary,6.70496697663935,1.0,0.4672540426254272
106,vinblastine,Veliparib,DB00570,DB07232,ACH-000657,ovary,-10.3297974027266,0.0,0.4672540426254272
107,vinblastine,MK-1775,DB00570,DB11740,ACH-000657,ovary,5.39724223881659,1.0,0.4672540426254272
108,etoposide,Bortezomib,DB00773,DB00188,ACH-000657,ovary,3.5612349210048,1.0,0.4672540426254272
109,etoposide,Sorafenib,DB00773,DB00398,ACH-000657,ovary,3.61602480729684,1.0,0.4672540426254272
110,etoposide,Lapatinib,DB00773,DB01259,ACH-000657,ovary,2.29885573353557,1.0,0.4672540426254272
111,etoposide,Sunitinib,DB00773,DB01268,ACH-000657,ovary,3.71408666738562,1.0,0.4672540426254272
112,etoposide,Vorinostat,DB00773,DB02546,ACH-000657,ovary,5.20101756641963,1.0,0.4672540426254272
113,etoposide,Veliparib,DB00773,DB07232,ACH-000657,ovary,3.82507165323084,1.0,0.4672540426254272
114,Lapatinib,391210-10-9,DB01259,DB07101,ACH-000657,ovary,13.7819146661149,1.0,0.4672540426254272
115,Lapatinib,Veliparib,DB01259,DB07232,ACH-000657,ovary,9.29622041006092,1.0,0.4672540426254272
116,Lapatinib,Niraparib,DB01259,DB11793,ACH-000657,ovary,10.2088889518612,1.0,0.4672540426254272
117,Sunitinib,Niraparib,DB01268,DB11793,ACH-000657,ovary,4.08273454638653,1.0,0.4672540426254272
118,geldanamycin,7-Ethyl-10-hydroxycamptothecin,DB02424,DB05482,ACH-000657,ovary,2.97378802004348,1.0,0.4672540426254272
119,Vorinostat,Lapatinib,DB02546,DB01259,ACH-000657,ovary,4.3304646188132,1.0,0.4672540426254272
120,Vorinostat,Niraparib,DB02546,DB11793,ACH-000657,ovary,7.01969944883572,1.0,0.4672540426254272
121,Deforolimus,Sorafenib,DB06233,DB00398,ACH-000657,ovary,10.0759103585675,1.0,0.4672540426254272
122,Deforolimus,7-Ethyl-10-hydroxycamptothecin,DB06233,DB05482,ACH-000657,ovary,10.3505476673585,1.0,0.4672540426254272
123,391210-10-9,Dasatinib,DB07101,DB01254,ACH-000657,ovary,32.4694332388125,1.0,0.4672540426254272
124,391210-10-9,geldanamycin,DB07101,DB02424,ACH-000657,ovary,6.17158190841292,1.0,0.4672540426254272
125,391210-10-9,7-Ethyl-10-hydroxycamptothecin,DB07101,DB05482,ACH-000657,ovary,2.30621182575219,1.0,0.4672540426254272
126,391210-10-9,Veliparib,DB07101,DB07232,ACH-000657,ovary,0.0756803268680786,1.0,0.4672540426254272
127,L-778123 free base,Sorafenib,DB07227,DB00398,ACH-000657,ovary,2.75086522436727,1.0,0.4672540426254272
128,L-778123 free base,geldanamycin,DB07227,DB02424,ACH-000657,ovary,5.51023062616567,1.0,0.4672540426254272
129,MK-1775,Bortezomib,DB11740,DB00188,ACH-000657,ovary,-3.37359245669442,0.0,0.4672540426254272
130,MK-1775,391210-10-9,DB11740,DB07101,ACH-000657,ovary,18.8483087962855,1.0,0.4672540426254272
131,Niraparib,Erlotinib,DB11793,DB00530,ACH-000657,ovary,7.26352608811574,1.0,0.4672540426254272
132,Niraparib,7-Ethyl-10-hydroxycamptothecin,DB11793,DB05482,ACH-000657,ovary,14.3305284375702,1.0,0.4672540426254272
133,Doramapimod,391210-10-9,DB03044,DB07101,ACH-000880,stomach,-21.262718191814,0.0,0.3162483870983124
134,Ruxolitinib,PRT062607,DB08877,DB08361,ACH-000880,stomach,-9.26598649868161,0.0,0.2799398601055145
135,vinorelbine,Dasatinib,DB00361,DB01254,ACH-000713,ovary,2.19135325288014,1.0,0.4426828026771545
136,vinorelbine,Vorinostat,DB00361,DB02546,ACH-000713,ovary,-6.82155770259463,0.0,0.4426828026771545
137,vinorelbine,Veliparib,DB00361,DB07232,ACH-000713,ovary,-6.53357526281813,0.0,0.4047220647335052
138,gemcitabine,Erlotinib,DB00441,DB00530,ACH-000713,ovary,-5.43348971401579,0.0,0.3756896555423736
139,gemcitabine,Deforolimus,DB00441,DB06233,ACH-000713,ovary,-2.25279634165172,0.0,0.3756896555423736
140,gemcitabine,Niraparib,DB00441,DB11793,ACH-000713,ovary,1.81918717721644,1.0,0.3756453096866607
141,dexamethasone,Sorafenib,DB00443,DB00398,ACH-000713,ovary,14.7001500765599,1.0,0.4380307197570801
142,dexamethasone,Lapatinib,DB00443,DB01259,ACH-000713,ovary,14.8249627470898,1.0,0.4667332470417022
143,dexamethasone,L-778123 free base,DB00443,DB07227,ACH-000713,ovary,11.9583782401818,1.0,0.4667332470417022
144,doxorubicin,Bortezomib,DB00445,DB00188,ACH-000713,ovary,-5.27983950214076,0.0,0.3591139018535614
145,doxorubicin,Sorafenib,DB00445,DB00398,ACH-000713,ovary,-7.24450202508495,0.0,0.4289439618587494
146,doxorubicin,Dasatinib,DB00445,DB01254,ACH-000713,ovary,0.487264807964109,1.0,0.4595408737659454
147,doxorubicin,Lapatinib,DB00445,DB01259,ACH-000713,ovary,5.98874978874994,1.0,0.4595408737659454
148,doxorubicin,Vorinostat,DB00445,DB02546,ACH-000713,ovary,-10.5707383103973,0.0,0.4595408737659454
149,Erlotinib,Sorafenib,DB00530,DB00398,ACH-000713,ovary,3.9767843057435,1.0,0.4388339817523956
150,Erlotinib,Dasatinib,DB00530,DB01254,ACH-000713,ovary,8.71493060917417,1.0,0.4672540426254272
151,Erlotinib,7-Ethyl-10-hydroxycamptothecin,DB00530,DB05482,ACH-000713,ovary,8.84807739326793,1.0,0.3730729818344116
152,Erlotinib,Veliparib,DB00530,DB07232,ACH-000713,ovary,-14.7029413301502,0.0,0.4327234029769897
153,cyclophosphamide,Bortezomib,DB00531,DB00188,ACH-000713,ovary,-55.765827708266,0.0,0.2704605460166931
154,cyclophosphamide,Erlotinib,DB00531,DB00530,ACH-000713,ovary,-18.5108259655587,0.0,0.3304612338542938
155,cyclophosphamide,Deforolimus,DB00531,DB06233,ACH-000713,ovary,-14.6668258262185,0.0,0.3304612338542938
156,5-Fluorouracil,Sorafenib,DB00544,DB00398,ACH-000713,ovary,-9.17379780975828,0.0,0.4388339817523956
157,5-Fluorouracil,Dasatinib,DB00544,DB01254,ACH-000713,ovary,5.49481225719792,1.0,0.4672540426254272
158,methotrexate,Dasatinib,DB00563,DB01254,ACH-000713,ovary,-4.7987394838988,0.0,0.2803515493869781
159,methotrexate,Deforolimus,DB00563,DB06233,ACH-000713,ovary,-3.76035938581315,0.0,0.2803515493869781
160,Sunitinib,MK-1775,DB01268,DB11740,ACH-000713,ovary,8.56431882363049,1.0,0.4672540426254272
161,Vorinostat,gemcitabine,DB02546,DB00441,ACH-000713,ovary,-17.1585550971976,0.0,0.3622753024101257
162,Vorinostat,Dasatinib,DB02546,DB01254,ACH-000713,ovary,6.04515232112586,1.0,0.4672540426254272
163,Vorinostat,Veliparib,DB02546,DB07232,ACH-000713,ovary,-6.52697951331758,0.0,0.4327234029769897
164,Deforolimus,Sorafenib,DB06233,DB00398,ACH-000713,ovary,6.15490770260531,1.0,0.4388339817523956
165,391210-10-9,Deforolimus,DB07101,DB06233,ACH-000713,ovary,12.6988384787027,1.0,0.4672540426254272
166,L-778123 free base,vinorelbine,DB07227,DB00361,ACH-000713,ovary,-10.3589968013096,0.0,0.4370791316032409
167,L-778123 free base,etoposide,DB07227,DB00773,ACH-000713,ovary,-18.2154842845301,0.0,0.4672540426254272
168,L-778123 free base,topotecan,DB07227,DB01030,ACH-000713,ovary,-5.32120372330726,0.0,0.3520000576972961
169,L-778123 free base,391210-10-9,DB07227,DB07101,ACH-000713,ovary,11.6789688733,1.0,0.4672540426254272
170,L-778123 free base,Niraparib,DB07227,DB11793,ACH-000713,ovary,-16.4138470869712,0.0,0.4672281146049499
171,Veliparib,topotecan,DB07232,DB01030,ACH-000713,ovary,-17.9889475133967,0.0,0.3227920234203338
172,Veliparib,geldanamycin,DB07232,DB02424,ACH-000713,ovary,2.01635044730987,1.0,0.4388602375984192
173,MK-1775,391210-10-9,DB11740,DB07101,ACH-000713,ovary,7.895041643483,1.0,0.4672540426254272
174,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000433,kidney,-22.953694092809,0.0,0.3518192172050476
175,158798-73-3,ADM hydrochloride,DB01101,DB00445,ACH-000433,kidney,-47.7640340488397,0.0,0.2074230462312698
176,7803-88-5,ADM hydrochloride,DB01280,DB00445,ACH-000433,kidney,-43.3884783155064,0.0,0.1956268697977066
177,Bortezomib,Veliparib,DB00188,DB07232,ACH-001061,large_intestine,-53.5105081649569,0.0,0.2558903694152832
178,vinorelbine,Sorafenib,DB00361,DB00398,ACH-001061,large_intestine,4.85307147696662,1.0,0.316619336605072
179,vinorelbine,Vorinostat,DB00361,DB02546,ACH-001061,large_intestine,-3.84260582522104,0.0,0.3418903350830078
180,vinorelbine,Veliparib,DB00361,DB07232,ACH-001061,large_intestine,-87.7670621922369,0.0,0.3177392184734344
181,vinorelbine,MK-1775,DB00361,DB11740,ACH-001061,large_intestine,-14.0224113201471,0.0,0.3985013365745544
182,gemcitabine,391210-10-9,DB00441,DB07101,ACH-001061,large_intestine,-5.15417608329666,0.0,0.2876796126365661
183,gemcitabine,Veliparib,DB00441,DB07232,ACH-001061,large_intestine,-38.0167519535584,0.0,0.2481967061758041
184,dexamethasone,geldanamycin,DB00443,DB02424,ACH-001061,large_intestine,-29.9688696751935,0.0,0.3946208953857422
185,dexamethasone,MK-1775,DB00443,DB11740,ACH-001061,large_intestine,-28.2923851789659,0.0,0.4104154706001282
186,dexamethasone,Niraparib,DB00443,DB11793,ACH-001061,large_intestine,-7.86775429340121,0.0,0.3413090705871582
187,doxorubicin,Lapatinib,DB00445,DB01259,ACH-001061,large_intestine,2.61585395561801,1.0,0.415545254945755
188,doxorubicin,Deforolimus,DB00445,DB06233,ACH-001061,large_intestine,0.0646125905331717,1.0,0.415545254945755
189,doxorubicin,Veliparib,DB00445,DB07232,ACH-001061,large_intestine,-43.5545127019416,0.0,0.3332426249980926
190,Erlotinib,7-Ethyl-10-hydroxycamptothecin,DB00530,DB05482,ACH-001061,large_intestine,7.41975969138823,1.0,0.297997772693634
191,Erlotinib,391210-10-9,DB00530,DB07101,ACH-001061,large_intestine,9.90449829162856,1.0,0.4672540426254272
192,5-Fluorouracil,391210-10-9,DB00544,DB07101,ACH-001061,large_intestine,6.43724597759392,1.0,0.4648456275463104
193,5-Fluorouracil,MK-1775,DB00544,DB11740,ACH-001061,large_intestine,3.57473742102233,1.0,0.4648456275463104
194,methotrexate,Erlotinib,DB00563,DB00530,ACH-001061,large_intestine,-6.64217610448155,0.0,0.2196372747421264
195,methotrexate,Lapatinib,DB00563,DB01259,ACH-001061,large_intestine,-6.27674325119488,0.0,0.2196372747421264
196,methotrexate,Sunitinib,DB00563,DB01268,ACH-001061,large_intestine,-15.9858835995791,0.0,0.1831544339656829
197,methotrexate,Deforolimus,DB00563,DB06233,ACH-001061,large_intestine,-5.79151735047585,0.0,0.2196372747421264
198,methotrexate,Veliparib,DB00563,DB07232,ACH-001061,large_intestine,-55.8437552125963,0.0,0.1870408356189727
199,methotrexate,MK-1775,DB00563,DB11740,ACH-001061,large_intestine,-10.9235191971266,0.0,0.2196372747421264
200,vinblastine,Sunitinib,DB00570,DB01268,ACH-001061,large_intestine,-9.89025401251897,0.0,0.3292780220508575
201,vinblastine,391210-10-9,DB00570,DB07101,ACH-001061,large_intestine,-24.5726888610152,0.0,0.425027847290039
202,vinblastine,Niraparib,DB00570,DB11793,ACH-001061,large_intestine,-3.88163546364833,0.0,0.3549422323703766
203,etoposide,Sorafenib,DB00773,DB00398,ACH-001061,large_intestine,5.13407108086935,1.0,0.3586559295654297
204,etoposide,Lapatinib,DB00773,DB01259,ACH-001061,large_intestine,13.0643449488643,1.0,0.4442459940910339
205,paclitaxel,Erlotinib,DB01229,DB00530,ACH-001061,large_intestine,3.11978230356239,1.0,0.3852393329143524
206,paclitaxel,Sunitinib,DB01229,DB01268,ACH-001061,large_intestine,-6.28527257942619,0.0,0.2987833321094513
207,paclitaxel,Deforolimus,DB01229,DB06233,ACH-001061,large_intestine,6.43686989263865,1.0,0.3852393329143524
208,Lapatinib,Sorafenib,DB01259,DB00398,ACH-001061,large_intestine,16.7159663840669,1.0,0.3839735090732574
209,Lapatinib,geldanamycin,DB01259,DB02424,ACH-001061,large_intestine,9.11128685229498,1.0,0.4540838897228241
210,Lapatinib,7-Ethyl-10-hydroxycamptothecin,DB01259,DB05482,ACH-001061,large_intestine,10.4412315169279,1.0,0.297997772693634
211,Sunitinib,Erlotinib,DB01268,DB00530,ACH-001061,large_intestine,7.4810133894463,1.0,0.3834119737148285
212,Sunitinib,topotecan,DB01268,DB01030,ACH-001061,large_intestine,-17.5174155745717,0.0,0.2455479055643081
213,Sunitinib,geldanamycin,DB01268,DB02424,ACH-001061,large_intestine,6.36542484475811,1.0,0.3680079579353332
214,Vorinostat,Sunitinib,DB02546,DB01268,ACH-001061,large_intestine,-6.70829994650832,0.0,0.3260404467582702
215,7-Ethyl-10-hydroxycamptothecin,Sorafenib,DB05482,DB00398,ACH-001061,large_intestine,7.15818546333836,1.0,0.2527867555618286
216,391210-10-9,Dasatinib,DB07101,DB01254,ACH-001061,large_intestine,13.7845467834761,1.0,0.4672540426254272
217,391210-10-9,7-Ethyl-10-hydroxycamptothecin,DB07101,DB05482,ACH-001061,large_intestine,-9.99016724686046,0.0,0.297997772693634
218,L-778123 free base,geldanamycin,DB07227,DB02424,ACH-001061,large_intestine,3.5451516746411,1.0,0.4540838897228241
219,L-778123 free base,391210-10-9,DB07227,DB07101,ACH-001061,large_intestine,4.50607026207896,1.0,0.4672540426254272
220,L-778123 free base,MK-1775,DB07227,DB11740,ACH-001061,large_intestine,13.0055941459293,1.0,0.4672540426254272
221,L-778123 free base,Niraparib,DB07227,DB11793,ACH-001061,large_intestine,1.99466922474207,1.0,0.3988411426544189
222,Veliparib,topotecan,DB07232,DB01030,ACH-001061,large_intestine,-37.1349926554065,0.0,0.2517044246196747
223,Veliparib,Deforolimus,DB07232,DB06233,ACH-001061,large_intestine,-9.47843432630146,0.0,0.3977808654308319
224,MK-1775,Sorafenib,DB11740,DB00398,ACH-001061,large_intestine,7.28360194212423,1.0,0.3839735090732574
225,MK-1775,Deforolimus,DB11740,DB06233,ACH-001061,large_intestine,16.2060479690051,1.0,0.4672540426254272
226,Niraparib,Erlotinib,DB11793,DB00530,ACH-001061,large_intestine,-7.03473418272351,0.0,0.4091678857803345
227,Bortezomib,7-Ethyl-10-hydroxycamptothecin,DB00188,DB05482,ACH-000971,large_intestine,-4.17425926788612,0.0,0.1586388945579528
228,Bortezomib,Veliparib,DB00188,DB07232,ACH-000971,large_intestine,-49.9192398163469,0.0,0.2009156942367553
