"","Drug2","Drug1","Drug2_ID","Drug1_ID","DepMap_ID","Tissue","Loewe.score","Actuals","Proba"
"83","Sorafenib","Bortezomib","DB00398","DB00188","ACH-000615","skin",-35.4942456758172,0,0.182310834527016
"84","Sorafenib","Bortezomib","DB00398","DB00188","ACH-000750","skin",-36.6667225760671,0,0.173627972602844
"85","Sorafenib","Bortezomib","DB00398","DB00188","ACH-000915","skin",-31.1832720095539,0,0.182220742106438
"86","Lapatinib","Bortezomib","DB01259","DB00188","ACH-000304","skin",-40.30897618324,0,0.227233543992043
"87","Lapatinib","Bortezomib","DB01259","DB00188","ACH-000008","skin",12.9251136530659,1,0.219436958432197
"88","Lapatinib","Bortezomib","DB01259","DB00188","ACH-000968","skin",-6.31821214691049,0,0.266296654939651
"89","Lapatinib","Bortezomib","DB01259","DB00188","ACH-000579","skin",-11.4905954998485,0,0.242263123393059
"90","Lapatinib","Bortezomib","DB01259","DB00188","ACH-000572","skin",-9.03388988624992,0,0.354348927736282
"91","ADM hydrochloride","Bortezomib","DB00445","DB00188","ACH-000376","brain",4.73406929878582,1,0.195453211665154
"92","ADM hydrochloride","Bortezomib","DB00445","DB00188","ACH-000655","brain",-5.01790390796658,0,0.204178214073181
"93","ADM hydrochloride","Bortezomib","DB00445","DB00188","ACH-000343","lung",10.0121003687366,1,0.212134599685669
"94","ADM hydrochloride","Bortezomib","DB00445","DB00188","ACH-000861","lung",1.52253419613353,1,0.217899456620216
"95","ADM hydrochloride","Bortezomib","DB00445","DB00188","ACH-000750","skin",-1.7049093686226,0,0.203827723860741
"96","ADM hydrochloride","Bortezomib","DB00445","DB00188","ACH-000148","breast",5.2543169925087,1,0.211292281746864
"97","ADM hydrochloride","Bortezomib","DB00445","DB00188","ACH-000147","breast",-6.17933438813502,0,0.204799637198448
"98","ADM hydrochloride","Bortezomib","DB00445","DB00188","ACH-000969","large_intestine",-5.05236716920367,0,0.174378156661987
"99","NSC256439","Bortezomib","DB01177","DB00188","ACH-000376","brain",5.32880907037989,1,0.213272869586944
"100","NSC256439","Bortezomib","DB01177","DB00188","ACH-000971","large_intestine",-2.17963045548349,0,0.213931664824486
"101","NSC256439","Bortezomib","DB01177","DB00188","ACH-000649","kidney",0.942854581639758,1,0.196226194500923
"102","NSC256439","Bortezomib","DB01177","DB00188","ACH-000825","lung",7.37895610984657,1,0.242068216204643
"103","NSC256439","Bortezomib","DB01177","DB00188","ACH-000367","lung",4.13523418693523,1,0.257207363843918
"104","NSC256439","Bortezomib","DB01177","DB00188","ACH-000148","breast",10.1779943255847,1,0.257075041532516
"105","NSC256439","Bortezomib","DB01177","DB00188","ACH-000555","kidney",1.66693194618261,1,0.254006713628769
"106","Veliparib","Bortezomib","DB07232","DB00188","ACH-001190","skin",-23.1084068998336,0,0.182954847812653
"107","Veliparib","Bortezomib","DB07232","DB00188","ACH-000614","skin",-21.8879764331054,0,0.235297709703445
"108","Veliparib","Bortezomib","DB07232","DB00188","ACH-000579","skin",-12.4638786079047,0,0.120692394673824
"109","Veliparib","Bortezomib","DB07232","DB00188","ACH-000401","skin",10.9219512256314,1,0.186220571398735
"110","Erlotinib","Bortezomib","DB00530","DB00188","ACH-000579","skin",-25.8381052788272,0,0.306324005126953
"111","gemcitabine","Bortezomib","DB00441","DB00188","ACH-000425","skin",-11.6587944299887,0,0.205292344093323
"112","gemcitabine","Bortezomib","DB00441","DB00188","ACH-000572","skin",27.0461141605518,1,0.285609692335129
"113","gemcitabine","Bortezomib","DB00441","DB00188","ACH-000401","skin",-11.1854086953206,0,0.201194033026695
"114","49843-98-3","Bortezomib","DB13978","DB00188","ACH-000219","skin",6.49099096853551,1,0.349844247102737
"115","49843-98-3","Bortezomib","DB13978","DB00188","ACH-000572","skin",15.018573069556,1,0.291323304176331
"116","TCS JNK 5a","Bortezomib","DB07217","DB00188","ACH-000968","skin",-35.9271221865895,0,0.269653528928757
"117","Midostaurin","Bortezomib","DB06595","DB00188","ACH-000614","skin",-4.54592896439186,0,0.335369169712067
"118","Midostaurin","Bortezomib","DB06595","DB00188","ACH-000730","skin",-27.6468611582912,0,0.253491550683975
"119","nilutamide","Bortezomib","DB00665","DB00188","ACH-000968","skin",-32.6271502789134,0,0.257080912590027
"120","nilutamide","Bortezomib","DB00665","DB00188","ACH-000425","skin",-16.0276539976137,0,0.24148453772068
"121","nilutamide","Bortezomib","DB00665","DB00188","ACH-000219","skin",-17.6184904011471,0,0.333603858947754
"122","nilutamide","Bortezomib","DB00665","DB00188","ACH-000644","skin",-23.2885053124782,0,0.257000356912613
"123","nilutamide","Bortezomib","DB00665","DB00188","ACH-000579","skin",-18.9541571249015,0,0.215879693627357
"124","nilutamide","Bortezomib","DB00665","DB00188","ACH-000730","skin",-55.2533960262963,0,0.219518736004829
"125","nilutamide","Bortezomib","DB00665","DB00188","ACH-000987","skin",-44.2023986596335,0,0.28248143196106
"126","SNS-032","Bortezomib","DB05969","DB00188","ACH-001190","skin",-18.4079817378981,0,0.262044221162796
"127","SNS-032","Bortezomib","DB05969","DB00188","ACH-000615","skin",-32.992041365922,0,0.288629353046417
"128","SNS-032","Bortezomib","DB05969","DB00188","ACH-000579","skin",-18.7330510068117,0,0.233846127986908
"129","SNS-032","Bortezomib","DB05969","DB00188","ACH-000915","skin",-37.0392395749817,0,0.25881552696228
"130","841290-80-0","Bortezomib","DB07159","DB00188","ACH-000788","skin",-10.8827795355935,0,0.345930814743042
"131","841290-80-0","Bortezomib","DB07159","DB00188","ACH-000615","skin",-35.5604728752976,0,0.281975865364075
"132","841290-80-0","Bortezomib","DB07159","DB00188","ACH-000572","skin",17.7619720361453,1,0.417309880256653
"133","Bexarotene","Bortezomib","DB00307","DB00188","ACH-000348","skin",-34.2810231573869,0,0.341749966144562
"134","Bexarotene","Bortezomib","DB00307","DB00188","ACH-000219","skin",-0.150187124547047,0,0.369651287794113
"135","Bexarotene","Bortezomib","DB00307","DB00188","ACH-000730","skin",-38.4268648947369,0,0.27580001950264
"136","Decitabine","Bortezomib","DB01262","DB00188","ACH-000008","skin",-5.31388095807582,0,0.267335712909698
"137","Decitabine","Bortezomib","DB01262","DB00188","ACH-000968","skin",-6.35466169776175,0,0.277494370937347
"138","Decitabine","Bortezomib","DB01262","DB00188","ACH-000614","skin",-3.47170329806368,0,0.311127185821533
"139","Decitabine","Bortezomib","DB01262","DB00188","ACH-000579","skin",-7.55597341130514,0,0.209134072065353
"140","Decitabine","Bortezomib","DB01262","DB00188","ACH-000750","skin",5.83703314841132,1,0.220334768295288
"141","Decitabine","Bortezomib","DB01262","DB00188","ACH-000572","skin",34.0748083428126,1,0.322408139705658
"142","Decitabine","Bortezomib","DB01262","DB00188","ACH-000987","skin",-14.2618035376992,0,0.262675076723099
"143","Dovitinib","Bortezomib","DB05928","DB00188","ACH-000788","skin",2.98051013674042,1,0.358172476291656
"144","Dovitinib","Bortezomib","DB05928","DB00188","ACH-000615","skin",-25.6982915902244,0,0.330726683139801
"145","Dovitinib","Bortezomib","DB05928","DB00188","ACH-000401","skin",-13.0189249542007,0,0.230442434549332
"146","Lenalidomide","Bortezomib","DB00480","DB00188","ACH-000968","skin",-11.9428870376838,0,0.173289909958839
"147","Lenalidomide","Bortezomib","DB00480","DB00188","ACH-000788","skin",-14.0905628797405,0,0.230125039815903
"148","Lenalidomide","Bortezomib","DB00480","DB00188","ACH-000750","skin",-7.88607266778289,0,0.180177628993988
"149","Palbociclib","Bortezomib","DB09073","DB00188","ACH-000008","skin",-5.68319752245969,0,0.351735293865204
"150","Palbociclib","Bortezomib","DB09073","DB00188","ACH-000425","skin",0.183179110594728,1,0.349444895982742
"151","Palbociclib","Bortezomib","DB09073","DB00188","ACH-000614","skin",-39.084482004252,0,0.331550776958466
"152","PLX-4720","Bortezomib","DB06999","DB00188","ACH-000008","skin",14.5834560727486,1,0.148955941200256
"153","PLX-4720","Bortezomib","DB06999","DB00188","ACH-000788","skin",-23.6111917950947,0,0.231533631682396
"154","PLX-4720","Bortezomib","DB06999","DB00188","ACH-000750","skin",15.9135536546846,1,0.166688069701195
"155","Tanespimycin","Bortezomib","DB12442","DB00188","ACH-001190","skin",-21.1228126020168,0,0.23319011926651
"156","Tanespimycin","Bortezomib","DB12442","DB00188","ACH-000644","skin",5.23809072777852,1,0.207473278045654
"157","Tanespimycin","Bortezomib","DB12442","DB00188","ACH-000579","skin",-13.5738301421707,0,0.195101678371429
"158","Tanespimycin","Bortezomib","DB12442","DB00188","ACH-000401","skin",3.01949225046444,1,0.226870149374008
"159","Vatalanib","Bortezomib","DB04879","DB00188","ACH-000219","skin",15.3777514506403,1,0.402294337749481
"160","Vatalanib","Bortezomib","DB04879","DB00188","ACH-000644","skin",9.00647754166127,1,0.267690092325211
"161","Vatalanib","Bortezomib","DB04879","DB00188","ACH-000750","skin",23.9463551470474,1,0.21608766913414
"162","Vatalanib","Bortezomib","DB04879","DB00188","ACH-000987","skin",-13.8645672772847,0,0.314985632896423
"163","Fludarabine","Bortezomib","DB01073","DB00188","ACH-000348","skin",-12.5634541503006,0,0.241195037961006
"164","Fludarabine","Bortezomib","DB01073","DB00188","ACH-000615","skin",-17.9950019827095,0,0.141467154026031
"165","Fludarabine","Bortezomib","DB01073","DB00188","ACH-000572","skin",10.5973155041755,1,0.27349516749382
"166","Fludarabine","Bortezomib","DB01073","DB00188","ACH-000987","skin",-16.4011152877048,0,0.215782791376114
"167","ADM hydrochloride","CHEMBL17639","DB00445","DB00242","ACH-000551","haematopoietic_and_lymphoid",-7.46165066285545,0,0.186236560344696
"168","ADM hydrochloride","CHEMBL17639","DB00445","DB00242","ACH-000019","breast",-5.53729822350158,0,0.167112901806831
"169","ADM hydrochloride","CHEMBL17639","DB00445","DB00242","ACH-000090","prostate",-4.55823993772273,0,0.189230620861053
"170","ADM hydrochloride","CHEMBL17639","DB00445","DB00242","ACH-000730","skin",-3.58795187862554,0,0.187187686562538
"171","ADM hydrochloride","CHEMBL17639","DB00445","DB00242","ACH-000750","skin",-8.40798339254798,0,0.200940907001495
"172","ADM hydrochloride","CHEMBL17639","DB00445","DB00242","ACH-000696","ovary",-9.0195441883205,0,0.188864678144455
"173","ADM hydrochloride","CHEMBL17639","DB00445","DB00242","ACH-000655","brain",-7.22549457569533,0,0.136777266860008
"174","ADM hydrochloride","CHEMBL17639","DB00445","DB00242","ACH-000273","brain",-0.375275139739811,0,0.160058438777924
"175","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000504","brain",0.688861092241891,1,0.147209465503693
"176","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000811","ovary",1.31268956795057,1,0.160921066999435
"177","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000376","brain",-6.62764742966959,0,0.149743139743805
"178","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000615","skin",-1.15557134753253,0,0.150165468454361
"179","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000649","kidney",-3.20422760950134,0,0.145831450819969
"180","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000966","ovary",0.983105649306696,1,0.200161382555962
"181","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000579","skin",-2.94741667903015,0,0.143569096922874
"182","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000555","kidney",-1.19342791827564,0,0.157663270831108
"183","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000617","ovary",-0.760791278009474,0,0.147512555122375
"184","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000696","ovary",-0.565519831768117,0,0.133457139134407
"185","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000019","breast",-7.35759121264333,0,0.187085062265396
"186","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000706","lung",-8.98499263074566,0,0.230996280908585
"187","Fulvestrant","CHEMBL17639","DB00947","DB00242","ACH-000966","ovary",-1.94315754171713,0,0.226021662354469
"188","Fulvestrant","CHEMBL17639","DB00947","DB00242","ACH-000148","breast",-1.76977007717676,0,0.193227648735046
"189","Fulvestrant","CHEMBL17639","DB00947","DB00242","ACH-000696","ovary",-18.7480919341496,0,0.150499030947685
"190","Fulvestrant","CHEMBL17639","DB00947","DB00242","ACH-000428","kidney",-14.5459399829454,0,0.258194327354431
"191","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000811","ovary",-16.375572093339,0,0.135166779160499
"192","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000425","skin",-15.8266651844908,0,0.160665974020958
"193","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000655","brain",-26.5265123654361,0,0.123837649822235
"194","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000615","skin",-9.71753005656469,0,0.14971074461937
"195","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-001151","ovary",-8.16786271311572,0,0.165330186486244
"196","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000817","haematopoietic_and_lymphoid",-39.9185902733967,0,0.148576527833939
"197","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000367","lung",-49.5146733332163,0,0.146734520792961
"198","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000232","brain",-8.08667760510639,0,0.108076080679893
"199","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000019","breast",-16.0217633287164,0,0.159108892083168
"200","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000433","kidney",-4.9169235115023,0,0.16508312523365
"201","Bortezomib","CHEMBL17639","DB00188","DB00242","ACH-000730","skin",-18.2560899106883,0,0.164038747549057
"202","7-Ethyl-10-hydroxycamptothecin","CHEMBL17639","DB05482","DB00242","ACH-000900","lung",-8.3488488153456,0,0.105554915964603
"203","7-Ethyl-10-hydroxycamptothecin","CHEMBL17639","DB05482","DB00242","ACH-000477","skin",-9.40441066825869,0,0.131059378385544
"204","7-Ethyl-10-hydroxycamptothecin","CHEMBL17639","DB05482","DB00242","ACH-000288","breast",-1.50616351777124,0,0.109192088246346
"205","7-Ethyl-10-hydroxycamptothecin","CHEMBL17639","DB05482","DB00242","ACH-000681","lung",-12.9329670842497,0,0.102096401154995
"206","7-Ethyl-10-hydroxycamptothecin","CHEMBL17639","DB05482","DB00242","ACH-000551","haematopoietic_and_lymphoid",-3.08686547295532,0,0.156468644738197
"207","7-Ethyl-10-hydroxycamptothecin","CHEMBL17639","DB05482","DB00242","ACH-000555","kidney",-17.7817489270577,0,0.126236945390701
"208","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000811","ovary",-5.1789355465994,0,0.143355771899223
"209","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000288","breast",-28.6871794387168,0,0.159119948744774
"210","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000615","skin",-44.9012261200041,0,0.146470412611961
"211","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000825","lung",-34.4292591547806,0,0.139811113476753
"212","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000551","haematopoietic_and_lymphoid",-38.2039429697416,0,0.151891097426414
"213","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000090","prostate",-15.6571015415744,0,0.173528254032135
"214","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000428","kidney",-25.9155754742816,0,0.199080690741539
"215","Quinacrine hydrochloride","CHEMBL17639","DB01103","DB00242","ACH-000463","lung",3.38330043828318,1,0.189176648855209
"216","Quinacrine hydrochloride","CHEMBL17639","DB01103","DB00242","ACH-000376","brain",2.89926563527311,1,0.173100382089615
"217","Quinacrine hydrochloride","CHEMBL17639","DB01103","DB00242","ACH-000615","skin",-4.71853176916092,0,0.1380515396595
"218","Quinacrine hydrochloride","CHEMBL17639","DB01103","DB00242","ACH-000706","lung",-9.51748352517504,0,0.24467009305954
"219","Quinacrine hydrochloride","CHEMBL17639","DB01103","DB00242","ACH-000969","large_intestine",-7.79258667242533,0,0.186090767383575
"220","Quinacrine hydrochloride","CHEMBL17639","DB01103","DB00242","ACH-000428","kidney",-3.54623397998601,0,0.244478166103363
"221","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000288","breast",-17.1713396942413,0,0.287894636392593
"222","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000971","large_intestine",-20.3947202498067,0,0.270849645137787
"223","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000046","kidney",-7.16477869564487,0,0.293565213680267
"224","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000649","kidney",-7.32676389481444,0,0.244234442710876
"225","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000681","lung",5.95521573373763,1,0.237943291664124
"226","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000966","ovary",0.794300432277665,1,0.284126907587051
"227","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000552","large_intestine",-7.90523492030798,0,0.243921428918839
"228","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000433","kidney",-20.261420757145,0,0.228088647127151
"229","Erlotinib hydrochloride","CHEMBL17639","DB00530","DB00242","ACH-000428","kidney",-5.01907835188575,0,0.348745435476303
"230","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000900","lung",-24.5436607323717,0,0.131710782647133
"231","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000463","lung",-8.49053719480602,0,0.173735380172729
"232","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000288","breast",-10.9550457560428,0,0.133078455924988
"233","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000551","haematopoietic_and_lymphoid",-14.8748828406108,0,0.169807583093643
"234","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000579","skin",-7.10892483968428,0,0.149886101484299
"235","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000367","lung",-0.876806211637918,0,0.144902020692825
"236","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000617","ovary",-13.4035596279305,0,0.0867666900157928
"237","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000090","prostate",-1.42476105360356,0,0.131627082824707
"238","ifosfamide","CHEMBL17639","DB01181","DB00242","ACH-000900","lung",-28.9442188240376,0,0.119948722422123
"239","ifosfamide","CHEMBL17639","DB01181","DB00242","ACH-000811","ovary",-27.5397982253869,0,0.144226089119911
"240","ifosfamide","CHEMBL17639","DB01181","DB00242","ACH-000376","brain",-8.06956328658928,0,0.135912328958511
